Type,Country,Year,Value,Unit
total-energy,Algeria,1990,21.166733786127384,Mtep
total-energy,Algeria,1991,23.16567040767867,Mtep
total-energy,Algeria,1992,24.170773449501343,Mtep
total-energy,Algeria,1993,26.026683664283908,Mtep
total-energy,Algeria,1994,27.025514676126,Mtep
total-energy,Algeria,1995,25.903466932704973,Mtep
total-energy,Algeria,1996,25.503388298494453,Mtep
total-energy,Algeria,1997,26.959642585360115,Mtep
total-energy,Algeria,1998,28.94512758977421,Mtep
total-energy,Algeria,1999,26.404942813458423,Mtep
total-energy,Algeria,2000,31.484868622668998,Mtep
total-energy,Algeria,2001,28.301836816090027,Mtep
total-energy,Algeria,2002,29.666373484870796,Mtep
total-energy,Algeria,2003,30.923781171104807,Mtep
total-energy,Algeria,2004,31.950261602877177,Mtep
total-energy,Algeria,2005,31.08388146784628,Mtep
total-energy,Algeria,2006,34.77630057456898,Mtep
total-energy,Algeria,2007,36.9025645665305,Mtep
total-energy,Algeria,2008,37.336496994296354,Mtep
total-energy,Algeria,2009,40.74649954095386,Mtep
total-energy,Algeria,2010,39.9796984683975,Mtep
total-energy,Algeria,2011,41.712492021169005,Mtep
total-energy,Algeria,2012,45.83312577866373,Mtep
total-energy,Algeria,2013,47.4262002604377,Mtep
total-energy,Algeria,2014,51.598760129603704,Mtep
total-energy,Algeria,2015,53.994100305627114,Mtep
total-energy,Algeria,2016,53.47352339104862,Mtep
total-energy,Algeria,2017,55.519999280721215,Mtep
total-energy,Algeria,2018,58.861424931140434,Mtep
total-energy,Algeria,2019,61.257734816247506,Mtep
total-energy,Algeria,2020,57.22579730211774,Mtep
total-energy,Algeria,2021,61.96104218526621,Mtep
total-energy,Algeria,2022,66.13389246823635,Mtep
total-energy,Algeria,2023,64.17887024600678,Mtep
total-energy,Algeria,2024,60.31782778570484,Mtep
total-energy,Argentina,1990,45.39706534480613,Mtep
total-energy,Argentina,1991,47.97052663185535,Mtep
total-energy,Argentina,1992,49.707999509532435,Mtep
total-energy,Argentina,1993,48.45330827865278,Mtep
total-energy,Argentina,1994,49.94700228811973,Mtep
total-energy,Argentina,1995,53.02865928722657,Mtep
total-energy,Argentina,1996,55.91330463705163,Mtep
total-energy,Argentina,1997,58.461864502715834,Mtep
total-energy,Argentina,1998,59.75736126416094,Mtep
total-energy,Argentina,1999,62.344538576904114,Mtep
total-energy,Argentina,2000,61.66672111010448,Mtep
total-energy,Argentina,2001,58.25755725704788,Mtep
total-energy,Argentina,2002,54.52196677564459,Mtep
total-energy,Argentina,2003,58.83955142526149,Mtep
total-energy,Argentina,2004,67.49510566630642,Mtep
total-energy,Argentina,2005,69.00454537487813,Mtep
total-energy,Argentina,2006,73.87182787653441,Mtep
total-energy,Argentina,2007,73.55019608600327,Mtep
total-energy,Argentina,2008,77.02861609587455,Mtep
total-energy,Argentina,2009,75.00602697343624,Mtep
total-energy,Argentina,2010,76.21840590473936,Mtep
